-9.16	-36.03	UNIAODOSPALMARES	AL
-9.37	-36.24	VICOSA	AL
-3.22	-64.80	ALVARAES	AM
-3.36	-68.19	AMATURA	AM
-3.58	-61.40	ANAMA	AM
-3.77	-61.64	ANORI	AM
-7.19	-59.89	APUI	AM
-4.37	-70.19	ATALAIADONORTE	AM
-3.58	-59.13	AUTAZES	AM
-0.97	-62.92	BARCELOS	AM
-2.79	-57.07	BARREIRINHA	AM
-4.38	-70.03	BENJAMINCONSTANT	AM
-3.89	-61.37	BERURI	AM
-2.97	-57.59	BOAVISTADORAMOS	AM
-8.75	-67.39	BOCADOACRE	AM
-4.38	-59.59	BORBA	AM
-3.32	-61.20	CAAPIRANGA	AM
-6.53	-64.38	CANUTAMA	AM
-4.88	-66.89	CARAUARI	AM
-3.76	-60.36	CAREIRO	AM
-3.22	-59.82	CAREIRODAVARZEA	AM
-4.08	-63.14	COARI	AM
-3.83	-62.05	CODAJAS	AM
-6.66	-69.87	EIRUNEPE	AM
-7.43	-70.02	ENVIRA	AM
-2.51	-66.09	FONTEBOA	AM
-7.54	-72.58	GUAJARA	AM
-7.50	-63.02	HUMAITA	AM
-7.05	-71.69	IPIXUNA	AM
-3.28	-60.18	IRANDUBA	AM
-3.14	-58.44	ITACOATIARA	AM
-6.42	-68.25	ITAMARATI	AM
-2.74	-58.02	ITAPIRANGA	AM
-1.82	-66.59	JAPURA	AM
-3.48	-66.06	JURUA	AM
-2.74	-66.76	JUTAI	AM
-7.25	-64.79	LABREA	AM
-3.30	-60.62	MANACAPURU	AM
-3.42	-60.45	MANAQUIRI	AM
-3.10	-60.02	MANAUS	AM
-5.80	-61.30	MANICORE	AM
-1.85	-65.58	MARAA	AM
-3.38	-57.71	MAUES	AM
-2.18	-56.71	NHAMUNDA	AM
-3.88	-59.09	NOVAOLINDADONORTE	AM
-2.62	-60.94	NOVOAIRAO	AM
-5.12	-60.38	NOVOARIPUANA	AM
-2.62	-56.73	PARINTINS	AM
-7.71	-66.97	PAUINI	AM
-2.03	-60.02	PRESIDENTEFIGUEIREDO	AM
-2.69	-59.70	RIOPRETODAEVA	AM
-0.41	-65.01	SANTAISABELDORIONEGRO	AM
-3.10	-67.94	SANTOANTONIODOICA	AM
-0.13	-67.08	SAOGABRIELDACACHOEIRA	AM
-3.37	-68.87	SAOPAULODEOLIVENCA	AM
-2.57	-57.87	SAOSEBASTIAODOUATUMA	AM
-2.83	-58.20	SILVES	AM
-4.25	-69.93	TABATINGA	AM
-5.62	-63.18	TAPAUA	AM
-3.35	-64.71	TEFE	AM
-2.87	-67.80	TONANTINS	AM
-2.99	-65.10	UARINI	AM
-2.53	-57.76	URUCARA	AM
-3.13	-58.15	URUCURITUBA	AM
2.05	-50.79	AMAPA	AP
2.49	-50.94	CALCOENE	AP
0.98	-50.80	CUTIAS	AP
0.85	-51.18	FERREIRAGOMES	AP
0.71	-50.80	ITAUBAL	AP
-1.12	-52.00	LARANJALDOJARI	AP
0.03	-51.06	MACAPA	AP
-0.11	-51.28	MAZAGAO	AP
3.84	-51.83	OIAPOQUE	AP
0.77	-51.94	PEDRABRANCADOAMAPARI	AP
0.71	-51.41	PORTOGRANDE	AP
1.74	-50.79	PRACUUBA	AP
-0.05	-51.18	SANTANA	AP
0.89	-52.00	SERRADONAVIO	AP
1.50	-50.91	TARTARUGALZINHO	AP
-0.80	-52.45	VITORIADOJARI	AP
-13.25	-41.66	ABAIRA	BA
